gyrate (nm),Systems
2.28296,Wild
2.29345,Wild
2.29169,Wild
2.29274,Wild
2.2886,Wild
2.27966,Wild
2.28398,Wild
2.2699,Wild
2.287,Wild
2.2899,Wild
2.29067,Wild
2.29119,Wild
2.28352,Wild
2.28053,Wild
2.28146,Wild
2.2883,Wild
2.29332,Wild
2.28434,Wild
2.28595,Wild
2.27565,Wild
2.27943,Wild
2.28994,Wild
2.29,Wild
2.29925,Wild
2.3123,Wild
2.31616,Wild
2.31782,Wild
2.3142,Wild
2.31284,Wild
2.32067,Wild
2.31323,Wild
2.31741,Wild
2.30216,Wild
2.31259,Wild
2.3132,Wild
2.31854,Wild
2.30242,Wild
2.30482,Wild
2.2999,Wild
2.3147,Wild
2.30697,Wild
2.30416,Wild
2.31976,Wild
2.3206,Wild
2.33675,Wild
2.32914,Wild
2.31503,Wild
2.30513,Wild
2.31713,Wild
2.28387,Wild
2.28809,Wild
2.28708,Wild
2.29901,Wild
2.29675,Wild
2.29586,Wild
2.30416,Wild
2.30943,Wild
2.31593,Wild
2.31899,Wild
2.31626,Wild
2.31207,Wild
2.30053,Wild
2.30932,Wild
2.32549,Wild
2.31852,Wild
2.31116,Wild
2.30926,Wild
2.30901,Wild
2.30913,Wild
2.30594,Wild
2.31133,Wild
2.29765,Wild
2.29506,Wild
2.29437,Wild
2.28231,Wild
2.2728,Wild
2.27877,Wild
2.27189,Wild
2.27896,Wild
2.27793,Wild
2.29031,Wild
2.2807,Wild
2.29032,Wild
2.28296,Wild
2.29553,Wild
2.28727,Wild
2.29028,Wild
2.28584,Wild
2.27302,Wild
2.28538,Wild
2.30716,Wild
2.31317,Wild
2.31005,Wild
2.30382,Wild
2.31045,Wild
2.30962,Wild
2.27969,Wild
2.30182,Wild
2.29927,Wild
2.27591,Wild
2.27576,Wild
2.27964,Wild
2.28474,Wild
2.29059,Wild
2.29489,Wild
2.28289,Wild
2.29107,Wild
2.29604,Wild
2.2795,Wild
2.28424,Wild
2.28177,Wild
2.29117,Wild
2.27904,Wild
2.29109,Wild
2.28566,Wild
2.29626,Wild
2.29562,Wild
2.28936,Wild
2.28441,Wild
2.28539,Wild
2.30342,Wild
2.30028,Wild
2.28524,Wild
2.29472,Wild
2.28945,Wild
2.29006,Wild
2.30148,Wild
2.29195,Wild
2.29824,Wild
2.3092,Wild
2.29163,Wild
2.295,Wild
2.29199,Wild
2.28467,Wild
2.29229,Wild
2.29685,Wild
2.30099,Wild
2.30139,Wild
2.29162,Wild
2.29298,Wild
2.29901,Wild
2.28772,Wild
2.29336,Wild
2.28399,Wild
2.28852,Wild
2.29412,Wild
2.28529,Wild
2.28718,Wild
2.28118,Wild
2.28051,Wild
2.28406,Wild
2.28838,Wild
2.29632,Wild
2.27854,Wild
2.28763,Wild
2.29243,Wild
2.30148,Wild
2.30986,Wild
2.30843,Wild
2.31501,Wild
2.32323,Wild
2.31889,Wild
2.33862,Wild
2.31165,Wild
2.31026,Wild
2.29884,Wild
2.31308,Wild
2.31718,Wild
2.30452,Wild
2.29436,Wild
2.31242,Wild
2.30403,Wild
2.30364,Wild
2.29809,Wild
2.30493,Wild
2.30979,Wild
2.32304,Wild
2.30203,Wild
2.30007,Wild
2.30229,Wild
2.30874,Wild
2.31723,Wild
2.30908,Wild
2.29382,Wild
2.29132,Wild
2.3238,Wild
2.31379,Wild
2.31744,Wild
2.31851,Wild
2.30285,Wild
2.32558,Wild
2.31381,Wild
2.31456,Wild
2.31508,Wild
2.32733,Wild
2.30985,Wild
2.30296,Wild
2.30705,Wild
2.30435,Wild
2.30924,Wild
2.31471,Wild
2.33028,Wild
2.33036,Wild
2.31117,Wild
2.30124,Wild
2.31079,Wild
2.30799,Wild
2.31546,Wild
2.29143,Wild
2.29495,Wild
2.30881,Wild
2.30236,Wild
2.30391,Wild
2.30066,Wild
2.29374,Wild
2.29198,Wild
2.29136,Wild
2.28293,Wild
2.27765,Wild
2.28319,Wild
2.29517,Wild
2.29227,Wild
2.30191,Wild
2.30226,Wild
2.30542,Wild
2.29889,Wild
2.29873,Wild
2.30744,Wild
2.30264,Wild
2.3108,Wild
2.28987,Wild
2.30186,Wild
2.29006,Wild
2.29394,Wild
2.30065,Wild
2.29139,Wild
2.2945,Wild
2.30057,Wild
2.29499,Wild
2.28577,Wild
2.28942,Wild
2.29541,Wild
2.29984,Wild
2.30324,Wild
2.29758,Wild
2.31686,Wild
2.29912,Wild
2.30896,Wild
2.30864,Wild
2.31223,Wild
2.30626,Wild
2.3071,Wild
2.29997,Wild
2.29626,Wild
2.294,Wild
2.29014,Wild
2.29711,Wild
2.29921,Wild
2.30078,Wild
2.30024,Wild
2.29583,Wild
2.2831,Wild
2.28519,Wild
2.28615,Wild
2.28936,Wild
2.28763,Wild
2.30939,Wild
2.29429,Wild
2.29821,Wild
2.29763,Wild
2.29358,Wild
2.30127,Wild
2.30535,Wild
2.29479,Wild
2.29521,Wild
2.28541,Wild
2.2996,Wild
2.29749,Wild
2.28225,Wild
2.29995,Wild
2.30648,Wild
2.30055,Wild
2.30037,Wild
2.2969,Wild
2.30634,Wild
2.30889,Wild
2.31257,Wild
2.30581,Wild
2.30302,Wild
2.30088,Wild
2.30416,Wild
2.30891,Wild
2.31199,Wild
2.30759,Wild
2.30229,Wild
2.30168,Wild
2.30674,Wild
2.29324,Wild
2.2822,Wild
2.30252,Wild
2.30106,Wild
2.31152,Wild
2.3033,Wild
2.30417,Wild
2.30585,Wild
2.29311,Wild
2.3174,Wild
2.31808,Wild
2.31938,Wild
2.32211,Wild
2.31169,Wild
2.32166,Wild
2.33287,Wild
2.31989,Wild
2.32293,Wild
2.32544,Wild
2.31623,Wild
2.3105,Wild
2.32092,Wild
2.31877,Wild
2.31929,Wild
