"","V1"
"1398",0.160319
"1399",0.1593933
"1400",0.1494295
"1401",0.1885176
"1402",0.1653499
"1403",0.1650254
"1404",0.1838196
"1405",0.1744907
"1406",0.1783922
"1407",0.1751748
"1408",0.1841408
"1409",0.189369
"1410",0.2097615
"1411",0.2314455
"1412",0.2648751
"1413",0.2503974
"1414",0.2688226
"1415",0.2472014
"1416",0.200988
"1417",0.1694313
"1418",0.1903653
"1419",0.1773619
"1420",0.1684398
"1421",0.1631903
"1422",0.1581176
"1423",0.1723849
"1424",0.1599802
"1425",0.1558313
"1426",0.1849338
"1427",0.2032522
"1428",0.1896947
"1429",0.1686204
"1430",0.1816221
"1431",0.2051031
"1432",0.2265867
"1433",0.2015767
"1434",0.2081286
"1435",0.2113996
"1436",0.2062168
"1437",0.1979091
"1438",0.2138655
"1439",0.2033532
"1440",0.2206591
"1441",0.1948657
"1442",0.218206
"1443",0.2536753
"1444",0.2440932
"1445",0.2119625
"1446",0.2031784
"1447",0.201188
"1448",0.2229553
"1449",0.2154966
"1450",0.1939286
"1451",0.1966811
"1452",0.2248981
"1453",0.2262066
"1454",0.2147219
"1455",0.2096393
"1456",0.1876207
"1457",0.2093855
"1458",0.1594715
"1459",0.1869333
"1460",0.1952006
"1461",0.1836414
"1462",0.1638505
"1463",0.1796109
"1464",0.170417
"1465",0.1661342
"1466",0.1660781
"1467",0.1665952
"1468",0.1514439
"1469",0.136479
"1470",0.1854676
"1471",0.1965692
"1472",0.1989541
"1473",0.1801762
"1474",0.1578761
"1475",0.1536624
"1476",0.1950302
"1477",0.1986217
"1478",0.1879608
"1479",0.1715387
"1480",0.1785961
"1481",0.1905905
"1482",0.1690313
"1483",0.1821554
"1484",0.1854897
"1485",0.1810949
"1486",0.1832288
"1487",0.2045455
"1488",0.1742792
"1489",0.2000012
"1490",0.1787771
"1491",0.1893921
"1492",0.2037077
"1493",0.1842533
"1494",0.1804521
"1495",0.180111
"1496",0.180928
"1497",0.1944995
"1498",0.1745031
"1499",0.1910972
"1500",0.2084312
"1501",0.2013911
"1502",0.1840336
"1503",0.1798498
"1504",0.1900865
"1505",0.1830685
"1506",0.1998143
"1507",0.17294
"1508",0.1676073
"1509",0.1680417
"1510",0.1821491
"1511",0.1892763
"1512",0.1879067
