rmsd (nm),Systems
0.1829777,Wild
0.1568291,Wild
0.1580159,Wild
0.1480369,Wild
0.144991,Wild
0.1464645,Wild
0.1463264,Wild
0.1571833,Wild
0.1621256,Wild
0.1527097,Wild
0.1375559,Wild
0.1506512,Wild
0.142929,Wild
0.1268438,Wild
0.1500173,Wild
0.1580313,Wild
0.1482604,Wild
0.1750788,Wild
0.1847427,Wild
0.2274747,Wild
0.2275509,Wild
0.1981618,Wild
0.1937423,Wild
0.2039716,Wild
0.1912616,Wild
0.1986088,Wild
0.1932702,Wild
0.189906,Wild
0.1995647,Wild
0.2205325,Wild
0.2146613,Wild
0.1925896,Wild
0.1673663,Wild
0.1534291,Wild
0.1480351,Wild
0.1623126,Wild
0.1701686,Wild
0.1644729,Wild
0.1366113,Wild
0.1291183,Wild
0.1142154,Wild
0.1198247,Wild
0.1192399,Wild
0.1182563,Wild
0.1454521,Wild
0.1483697,Wild
0.1498967,Wild
0.1426393,Wild
0.1242672,Wild
0.1431317,Wild
0.173155,Wild
0.1764013,Wild
0.1951971,Wild
0.2250223,Wild
0.2060903,Wild
0.1752494,Wild
0.1599273,Wild
0.1393666,Wild
0.1339621,Wild
0.1252616,Wild
0.1323152,Wild
0.1359722,Wild
0.1525158,Wild
0.1602329,Wild
0.1496441,Wild
0.1272005,Wild
0.117414,Wild
0.1293412,Wild
0.1280175,Wild
0.1270725,Wild
0.1218062,Wild
0.1316662,Wild
0.1520699,Wild
0.1608186,Wild
0.1659856,Wild
0.1593986,Wild
0.137263,Wild
0.1545593,Wild
0.1643153,Wild
0.1499195,Wild
0.1517028,Wild
0.1421142,Wild
0.1306797,Wild
0.1430782,Wild
0.1304948,Wild
0.1377757,Wild
0.1420325,Wild
0.1224851,Wild
0.1206437,Wild
0.1220795,Wild
0.1256546,Wild
0.1250516,Wild
0.1310501,Wild
0.13528,Wild
0.1298923,Wild
0.1300443,Wild
0.123316,Wild
0.1227731,Wild
0.1214138,Wild
0.1109672,Wild
0.1397458,Wild
0.1309916,Wild
0.1281262,Wild
0.1576655,Wild
0.1698667,Wild
0.176219,Wild
0.1542925,Wild
0.153242,Wild
0.1408702,Wild
0.1523157,Wild
0.1555415,Wild
0.1502621,Wild
0.1550315,Wild
0.1423556,Wild
0.1378164,Wild
0.1268973,Wild
0.1421082,Wild
0.1351807,Wild
0.125045,Wild
0.1178959,Wild
0.112237,Wild
0.1235656,Wild
0.1211772,Wild
0.1263748,Wild
0.11749,Wild
0.1309208,Wild
0.1211508,Wild
0.1109029,Wild
0.1194719,Wild
0.1212828,Wild
0.1270406,Wild
0.1293,Wild
0.1254276,Wild
0.1230782,Wild
0.1129927,Wild
0.119947,Wild
0.1214748,Wild
0.1123728,Wild
0.1238284,Wild
0.1168642,Wild
0.113612,Wild
0.1118197,Wild
0.1136114,Wild
0.1147004,Wild
0.1186599,Wild
0.1440544,Wild
0.1453935,Wild
0.1564307,Wild
0.154168,Wild
0.1600064,Wild
0.1362224,Wild
0.1285118,Wild
0.1178071,Wild
0.1194465,Wild
0.1191288,Wild
0.1370646,Wild
0.1227468,Wild
0.1209203,Wild
0.1267155,Wild
0.1199597,Wild
0.1253544,Wild
0.1320606,Wild
0.1267593,Wild
0.1341692,Wild
0.1404062,Wild
0.1275211,Wild
0.1256488,Wild
0.1331425,Wild
0.1438337,Wild
0.142946,Wild
0.1426377,Wild
0.1353506,Wild
0.1536973,Wild
0.1481416,Wild
0.1770324,Wild
0.1873569,Wild
0.1643528,Wild
0.157069,Wild
0.150682,Wild
0.1697222,Wild
0.1990957,Wild
0.1527966,Wild
0.1609606,Wild
0.1709548,Wild
0.1926329,Wild
0.1825143,Wild
0.1944752,Wild
0.1716929,Wild
0.1609958,Wild
0.1687358,Wild
0.1639582,Wild
0.1409484,Wild
0.1347153,Wild
0.1325226,Wild
0.1383454,Wild
0.1552083,Wild
0.1629882,Wild
0.1901311,Wild
0.1646402,Wild
0.1497931,Wild
0.1491883,Wild
0.133989,Wild
0.1388475,Wild
0.1491643,Wild
0.1429558,Wild
0.1349881,Wild
0.1343109,Wild
0.139392,Wild
0.1455251,Wild
0.1592572,Wild
0.1541943,Wild
0.1429681,Wild
0.141588,Wild
0.1372502,Wild
0.1525562,Wild
0.1751013,Wild
0.1767922,Wild
0.1935637,Wild
0.1825544,Wild
0.1859703,Wild
0.2024474,Wild
0.2167563,Wild
0.2024808,Wild
0.1783617,Wild
0.2037308,Wild
0.1910317,Wild
0.1889413,Wild
0.1484462,Wild
0.1619073,Wild
0.1801944,Wild
0.1759052,Wild
0.155069,Wild
